@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE f1 NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
75193,1.0,1,?,not_applicable
2117,1.0,2,0.0915297293006272,ok
75156,1.0,3,0.19158200290275762,ok
75129,1.0,4,0.5185185185185185,ok
75239,1.0,5,0.0,ok
75221,1.0,6,?,not_applicable
258,1.0,7,?,not_applicable
75121,1.0,8,0.008281573498964856,ok
253,1.0,9,?,not_applicable
261,1.0,10,0.39917695473251025,ok
75168,1.0,11,?,not_applicable
75240,1.0,12,0.028349082823791005,ok
75120,1.0,13,0.058572949946751884,ok
75124,1.0,14,0.48113207547169823,ok
75154,1.0,15,?,not_applicable
75176,1.0,16,0.015594286463110896,ok
75103,1.0,17,0.03821656050955413,ok
75207,1.0,18,?,not_applicable
75095,1.0,19,0.1428571428571428,ok
273,1.0,20,0.06255355612682079,ok
75174,1.0,21,0.20000000000000007,ok
75153,1.0,22,0.10940358580314669,ok
75093,1.0,23,0.5554115359688918,ok
75119,1.0,24,0.05831533477321815,ok
75201,1.0,25,?,not_applicable
75172,1.0,26,?,not_applicable
75202,1.0,27,?,not_applicable
75233,1.0,28,0.046554934823091254,ok
75230,1.0,29,?,not_applicable
75231,1.0,30,?,not_applicable
75196,1.0,31,0.01904761904761909,ok
248,1.0,32,?,not_applicable
75191,1.0,33,0.13671066252588004,ok
260,1.0,34,?,not_applicable
75115,1.0,35,0.007423117709437932,ok
75123,1.0,36,?,not_applicable
75108,1.0,37,0.012048192771084376,ok
75192,1.0,38,0.49653579676674364,ok
75232,1.0,39,0.17600000000000005,ok
75173,1.0,40,0.11592836946277107,ok
75197,1.0,41,?,not_applicable
75150,1.0,42,0.2600536193029491,ok
75100,1.0,43,0.9024390243902439,ok
75178,1.0,44,?,not_applicable
75236,1.0,45,?,not_applicable
75179,1.0,46,0.2886937431394072,ok
75213,1.0,47,0.16304347826086962,ok
2123,1.0,48,?,not_applicable
75227,1.0,49,0.1633986928104575,ok
75184,1.0,50,0.17671033478893738,ok
75142,1.0,51,0.06944546726563061,ok
75188,1.0,52,?,not_applicable
75133,1.0,53,0.9037037037037037,ok
75134,1.0,54,?,not_applicable
2119,1.0,55,?,not_applicable
75198,1.0,56,?,not_applicable
262,1.0,57,?,not_applicable
75234,1.0,58,0.023236852833265376,ok
252,1.0,59,?,not_applicable
75117,1.0,60,0.07183580387685284,ok
75113,1.0,61,0.0531400966183575,ok
75098,1.0,62,?,not_applicable
246,1.0,63,?,not_applicable
75203,1.0,64,?,not_applicable
75237,1.0,65,0.00024155154008587143,ok
75195,1.0,66,0.00018772292096869148,ok
75171,1.0,67,0.16479400749063666,ok
75096,1.0,68,?,not_applicable
75250,1.0,69,?,not_applicable
75146,1.0,70,0.09503117324768562,ok
75116,1.0,71,0.007058823529411895,ok
75157,1.0,72,0.4923076923076922,ok
75187,1.0,73,0.01724863273033239,ok
2350,1.0,74,0.5221751328120336,ok
242,1.0,75,?,not_applicable
244,1.0,76,?,not_applicable
75125,1.0,77,0.017921146953404965,ok
75163,1.0,78,0.0672153635116598,ok
75177,1.0,79,0.1061452513966481,ok
75189,1.0,80,0.024970362630205245,ok
75244,1.0,81,0.6706976744186046,ok
75222,1.0,82,0.4017094017094017,ok
75159,1.0,83,0.5555555555555556,ok
75105,1.0,84,0.8793103448275862,ok
75106,1.0,85,0.7674953959484346,ok
75212,1.0,86,0.2511848341232228,ok
75099,1.0,87,0.5269461077844311,ok
75248,1.0,88,0.6092396535129934,ok
75235,1.0,89,?,not_applicable
75226,1.0,90,0.004147880973850437,ok
75132,1.0,91,0.8556467523797603,ok
75127,1.0,92,0.3777592353788972,ok
75143,1.0,93,0.009419930589985026,ok
75114,1.0,94,0.016270337922402955,ok
75182,1.0,95,0.20131004366812233,ok
75205,1.0,96,?,not_applicable
75090,1.0,97,?,not_applicable
275,1.0,98,?,not_applicable
288,1.0,99,?,not_applicable
75092,1.0,100,0.37254901960784315,ok
3043,1.0,101,0.1061452513966481,ok
75249,1.0,102,0.03589743589743599,ok
75126,1.0,103,0.06338028169014076,ok
75225,1.0,104,0.5894039735099338,ok
75141,1.0,105,0.06278026905829592,ok
75107,1.0,106,0.4601092896174864,ok
75097,1.0,107,0.14973556632877927,ok
