@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE precision NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
2120,1.0,1,?,not_applicable
75193,1.0,2,?,not_applicable
2117,1.0,3,0.05313111545988258,ok
75156,1.0,4,0.20880681818181823,ok
75129,1.0,5,0.6454545454545455,ok
75243,1.0,6,?,not_applicable
75110,1.0,7,?,not_applicable
75239,1.0,8,0.0,ok
75223,1.0,9,?,not_applicable
75221,1.0,10,?,not_applicable
258,1.0,11,?,not_applicable
75121,1.0,12,0.0,ok
253,1.0,13,?,not_applicable
261,1.0,14,0.2727272727272727,ok
75168,1.0,15,?,not_applicable
75240,1.0,16,0.05513513513513513,ok
75120,1.0,17,0.0071258907363420665,ok
75124,1.0,18,0.3555555555555555,ok
75154,1.0,19,?,not_applicable
75176,1.0,20,0.014690451206715638,ok
75103,1.0,21,0.0374149659863946,ok
75207,1.0,22,?,not_applicable
75095,1.0,23,0.15294117647058825,ok
273,1.0,24,0.051724137931034475,ok
75174,1.0,25,0.18397764322310195,ok
75153,1.0,26,0.10074074074074069,ok
75093,1.0,27,0.5764705882352941,ok
75119,1.0,28,0.0025706940874036244,ok
75201,1.0,29,?,not_applicable
75215,1.0,30,0.02883229216722727,ok
75172,1.0,31,?,not_applicable
75169,1.0,32,?,not_applicable
75202,1.0,33,?,not_applicable
75233,1.0,34,0.04002192982456143,ok
75230,1.0,35,?,not_applicable
75231,1.0,36,?,not_applicable
75196,1.0,37,0.020000000000000018,ok
248,1.0,38,?,not_applicable
75191,1.0,39,0.08194578230356409,ok
260,1.0,40,?,not_applicable
75115,1.0,41,0.01473684210526316,ok
75123,1.0,42,?,not_applicable
75108,1.0,43,0.0060422960725075026,ok
75101,1.0,44,0.2640439687590397,ok
75192,1.0,45,0.49608938547486037,ok
75232,1.0,46,0.19834710743801653,ok
75173,1.0,47,0.10045961917268553,ok
75197,1.0,48,?,not_applicable
266,1.0,49,?,not_applicable
75148,1.0,50,0.16763005780346818,ok
75150,1.0,51,0.2965116279069767,ok
75100,1.0,52,0.9411764705882353,ok
75178,1.0,53,?,not_applicable
75236,1.0,54,?,not_applicable
75179,1.0,55,0.3526315789473684,ok
75213,1.0,56,0.1954022988505747,ok
2123,1.0,57,?,not_applicable
75227,1.0,58,0.15625,ok
75184,1.0,59,0.09523809523809523,ok
75142,1.0,60,0.06798571853614999,ok
236,1.0,61,?,not_applicable
2122,1.0,62,?,not_applicable
75188,1.0,63,?,not_applicable
75166,1.0,64,0.12229679343773303,ok
75133,1.0,65,0.9475806451612904,ok
75134,1.0,66,?,not_applicable
2119,1.0,67,?,not_applicable
75198,1.0,68,?,not_applicable
262,1.0,69,?,not_applicable
75234,1.0,70,0.028386050283860542,ok
75139,1.0,71,0.014751075599262475,ok
252,1.0,72,?,not_applicable
75117,1.0,73,0.004889975550122272,ok
75113,1.0,74,0.04318936877076407,ok
75098,1.0,75,?,not_applicable
246,1.0,76,?,not_applicable
75203,1.0,77,?,not_applicable
75237,1.0,78,6.234705488095127e-05,ok
75195,1.0,79,0.0,ok
75171,1.0,80,0.16228399699474083,ok
75096,1.0,81,?,not_applicable
75250,1.0,82,?,not_applicable
75146,1.0,83,0.0938327657964434,ok
75116,1.0,84,0.0023640661938534313,ok
75157,1.0,85,0.4921259842519685,ok
75187,1.0,86,0.012679628064243498,ok
2350,1.0,87,0.5330853042785012,ok
242,1.0,88,?,not_applicable
244,1.0,89,?,not_applicable
75125,1.0,90,0.026066350710900466,ok
75185,1.0,91,0.118,ok
75163,1.0,92,0.0575139146567718,ok
75177,1.0,93,0.027027027027026973,ok
75189,1.0,94,0.009024486762477468,ok
75244,1.0,95,0.4375,ok
75219,1.0,96,0.04093836246550142,ok
75222,1.0,97,0.5333333333333333,ok
75159,1.0,98,0.5,ok
75175,1.0,99,0.10352588147036756,ok
75109,1.0,100,?,not_applicable
75105,1.0,101,0.8333333333333334,ok
75106,1.0,102,0.0,ok
75212,1.0,103,0.22499999999999998,ok
75099,1.0,104,0.6301369863013699,ok
75248,1.0,105,0.7446540880503145,ok
233,1.0,106,0.004089979550102263,ok
75235,1.0,107,?,not_applicable
75226,1.0,108,0.0018115942028985588,ok
75132,1.0,109,0.19999999999999996,ok
75127,1.0,110,0.34283787098356633,ok
251,1.0,111,?,not_applicable
75161,1.0,112,0.06233421750663126,ok
75143,1.0,113,0.007968127490039834,ok
75114,1.0,114,0.012626262626262652,ok
75182,1.0,115,0.23288250211327133,ok
75112,1.0,116,0.11813904861474123,ok
75205,1.0,117,?,not_applicable
75090,1.0,118,?,not_applicable
275,1.0,119,?,not_applicable
288,1.0,120,?,not_applicable
75092,1.0,121,0.5247524752475248,ok
3043,1.0,122,0.027027027027026973,ok
75249,1.0,123,0.030927835051546393,ok
75126,1.0,124,0.010126582278481067,ok
75225,1.0,125,0.6990291262135923,ok
75141,1.0,126,0.06874427131072414,ok
75107,1.0,127,0.15699658703071673,ok
75097,1.0,128,0.026276581335500482,ok
