@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE precision NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
75193,1.0,1,?,not_applicable
2117,1.0,2,0.05313111545988258,ok
75156,1.0,3,0.20880681818181823,ok
75129,1.0,4,0.6454545454545455,ok
75239,1.0,5,0.0,ok
75221,1.0,6,?,not_applicable
258,1.0,7,?,not_applicable
75121,1.0,8,0.0,ok
253,1.0,9,?,not_applicable
261,1.0,10,0.2727272727272727,ok
75168,1.0,11,?,not_applicable
75240,1.0,12,0.05513513513513513,ok
75120,1.0,13,0.0071258907363420665,ok
75124,1.0,14,0.3555555555555555,ok
75154,1.0,15,?,not_applicable
75176,1.0,16,0.014690451206715638,ok
75103,1.0,17,0.0374149659863946,ok
75207,1.0,18,?,not_applicable
75095,1.0,19,0.15294117647058825,ok
273,1.0,20,0.051993067590987874,ok
75174,1.0,21,0.2287414965986394,ok
75153,1.0,22,0.10074074074074069,ok
75093,1.0,23,0.5764705882352941,ok
75119,1.0,24,0.0025706940874036244,ok
75201,1.0,25,?,not_applicable
75172,1.0,26,?,not_applicable
75202,1.0,27,?,not_applicable
75233,1.0,28,0.04002192982456143,ok
75230,1.0,29,?,not_applicable
75231,1.0,30,?,not_applicable
75196,1.0,31,0.020000000000000018,ok
248,1.0,32,?,not_applicable
75191,1.0,33,0.08194578230356409,ok
260,1.0,34,?,not_applicable
75115,1.0,35,0.01473684210526316,ok
75123,1.0,36,?,not_applicable
75108,1.0,37,0.009493670886076,ok
75192,1.0,38,0.5030395136778115,ok
75232,1.0,39,0.19834710743801653,ok
75173,1.0,40,0.10045961917268553,ok
75197,1.0,41,?,not_applicable
75150,1.0,42,0.2965116279069767,ok
75100,1.0,43,0.9411764705882353,ok
75178,1.0,44,?,not_applicable
75236,1.0,45,?,not_applicable
75179,1.0,46,0.3526315789473684,ok
75213,1.0,47,0.2142857142857143,ok
2123,1.0,48,?,not_applicable
75227,1.0,49,0.15625,ok
75184,1.0,50,0.09523809523809523,ok
75142,1.0,51,0.07224669603524225,ok
75188,1.0,52,?,not_applicable
75133,1.0,53,0.9475806451612904,ok
75134,1.0,54,?,not_applicable
2119,1.0,55,?,not_applicable
75198,1.0,56,?,not_applicable
262,1.0,57,?,not_applicable
75234,1.0,58,0.028386050283860542,ok
252,1.0,59,?,not_applicable
75117,1.0,60,0.004889975550122272,ok
75113,1.0,61,0.09815950920245398,ok
75098,1.0,62,?,not_applicable
246,1.0,63,?,not_applicable
75203,1.0,64,?,not_applicable
75237,1.0,65,6.234705488095127e-05,ok
75195,1.0,66,0.0,ok
75171,1.0,67,0.16228399699474083,ok
75096,1.0,68,?,not_applicable
75250,1.0,69,?,not_applicable
75146,1.0,70,0.0938327657964434,ok
75116,1.0,71,0.0023640661938534313,ok
75157,1.0,72,0.4921259842519685,ok
75187,1.0,73,0.012679628064243498,ok
2350,1.0,74,0.5330853042785012,ok
242,1.0,75,?,not_applicable
244,1.0,76,?,not_applicable
75125,1.0,77,0.026066350710900466,ok
75163,1.0,78,0.05817174515235457,ok
75177,1.0,79,0.16129032258064513,ok
75189,1.0,80,0.009024486762477468,ok
75244,1.0,81,0.7988636363636363,ok
75222,1.0,82,0.5333333333333333,ok
75159,1.0,83,0.5,ok
75105,1.0,84,0.8333333333333334,ok
75106,1.0,85,0.0,ok
75212,1.0,86,0.22499999999999998,ok
75099,1.0,87,0.6301369863013699,ok
75248,1.0,88,0.7446540880503145,ok
75235,1.0,89,?,not_applicable
75226,1.0,90,0.0018115942028985588,ok
75132,1.0,91,0.19999999999999996,ok
75127,1.0,92,0.34283787098356633,ok
75143,1.0,93,0.007968127490039834,ok
75114,1.0,94,0.012626262626262652,ok
75182,1.0,95,0.23288250211327133,ok
75205,1.0,96,?,not_applicable
75090,1.0,97,?,not_applicable
275,1.0,98,?,not_applicable
288,1.0,99,?,not_applicable
75092,1.0,100,0.5247524752475248,ok
3043,1.0,101,0.16129032258064513,ok
75249,1.0,102,0.030927835051546393,ok
75126,1.0,103,0.010126582278481067,ok
75225,1.0,104,0.6990291262135923,ok
75141,1.0,105,0.07070707070707072,ok
75107,1.0,106,0.15699658703071673,ok
75097,1.0,107,0.026276581335500482,ok
